Marka;Nazwa GPSR;Adres;Email;Telefon;Produkty
"INTERPEN SP. Z O.O.";"Interpen Sp. z o.o.";"ul. Metalowców 1, 41-500 Chorzów, Polska";"biuro@interpen.pl";"";1
"Marie's";"Phoenix Art Sp. z o.o.";"ul. Gdyńska 25, 80-209 Tuchom, Polska";"biuro@phoenix-art.pl";"";1
"Dodo";"Dodo Toys (Dystrybutor PL)";"ul. Północna 1, 42-240 Rudniki, Polska";"bok@dodo-toys.pl";"";1
"Craft with Fun";"Titanum Sp. z o.o.";"ul. Puławska 435, 02-801 Warszawa, Polska";"biuro@titanum.pl";"";1
"PASSION CARDS";"Passion Cards Sp. z o.o.";"ul. Bukowska 148, 60-198 Poznań, Polska";"biuro@passion.com.pl";"";1
"Lamps";"Lamps s.r.o. (Dystr: Rekman)";"ul. Fabryczna 14, 53-609 Wrocław, Polska";"biuro@rekman.com.pl";"";1
"Oficio";"";"";"";"";1
"Daler Rowney";"Daler-Rowney Ltd.";"Peacock Lane, Bracknell, Berkshire RG12 8SS, United Kingdom";"info@dfraler-rowney.com";"+44 1344 461000";1
"Creativ";"Creativ Company A/S";"Rasmus Færchs Vej 23, 7500 Holstebro, Danmark";"info@cchobby.com";"";1
"IPICASSO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"";"";"";"";1
"V Trade";"V-Trade Sp. z o.o.";"ul. Przemysłowa 5, 05-074 Halinów, Polska";"biuro@v-trade.pl";"";1
"ET";"Euro-Trade Sp. z o.o. Sp. k.";"ul. Łokietka 155, 31-263 Kraków, Polska";"biuro@euro-trade.pl";"";1
"Marmis";"Marmis Sp. z o.o.";"ul. Gdyńska 25, 80-209 Tuchom, Polska";"biuro@marmis.pl";"";1
"Akuku";"Albis Mazur Sp. j.";"Chotów 24a, 63-460 Nowe Skalmierzyce, Polska";"info@akuku.eu";"";1
"EDGARD";"Edgard Języki Obce";"ul. Podleśna 17, 01-673 Warszawa, Polska";"edgard@edgard.pl";"";1
"ootb";"";"";"";"";1
"Sadpex  Daniel, Przemysław Ślipko Spółka Jawna";"";"";"";"";1
"Avery zweckform";"Avery Zweckform GmbH";"Ernst-Abbe-Straße 26, 85540 Haar, Deutschland";"info@avery-zweckform.de";"+49 89 436 80 0";1
"Kolori";"Kolori Sp. z o.o.";"ul. Przemysłowa 12, 32-050 Skawina, Polska";"biuro@kolori.pl";"";1
"Bard";"Wydawnictwo Bard Sp. j.";"ul. Batorego 15, 31-135 Kraków, Polska";"bard@bard.pl";"";1
"Pukka Pad";"Pukka Pads Ltd.";"Bridgetown Business Park, Rotherham Road, S63 7LG, United Kingdom";"info@pukkapad.com";"+44 1226 759 100";1
"Winsor & Newton";"ColArt International Holdings Ltd.";"The Studio Building, 21 Evesham Street, London W11 4AJ, United Kingdom";"info@winsornewton.com";"+44 20 8424 3200";1
"Titanium";"Titanum Sp. z o.o.";"ul. Garbarska 16, 20-340 Lublin, Polska";"biuro@titanum.pl";"+48 81 743 04 00";1
"KW";"KW Trade Sp. z o.o.";"ul. Maratońska 91, 94-007 Łódź, Polska";"biuro@kwtrade.pl";"+48 42 681 91 63";1
"MP Colours";"Michalczyk i Prokop Sp. z o.o.";"ul. Szkolna 5, 32-020 Wieliczka, Polska";"handlowy@mfrip.pl";"+48 12 278 19 00";1
"Shkolyaryk";"Shkolyaryk LLC (Ukraina/Dystr PL)";"ul. Metalowców 1, 41-500 Chorzów, Polska";"biuro@shkolyaryk.pl";"";1
"Uni";"Mitsubishi Pencil Co., Ltd.";"5-23-37 Higashiohi, Shinagawa-ku, Tokyo 140-8537, Japan";"info@uniball.eu";"+44 1onal234 33 43 45";1
"Pollux";"Pollux Sp. z o.o.";"ul. Ceramiczna 1, 20-150 Lublin, Polska";"biuro@pollux.pl";"";1
"DERFORM SP. J.";"Derform Sp. z o.o.";"ul. Łąkowa 11, 83-010 Straszyn, Polska";"biuro@derform.pl";"+48 58 741 15 11";1
"Jokomisiada";"Jokomisiada Sp. j.";"ul. Balicka 56, 30-149 Kraków, Polska";"sklep@jokomisiada.pl";"";1
"DeltaGraphix";"Grand Sp. j.";"ul. Elbląska 15/17, 01-747 Warszawa, Polska";"biuro@grand.com.pl";"+48 22 633 31 33";1
"Steadtler";"STAEDTLER Mars GmbH & Co. KG";"Moosaeckerstraße 3, 90427 Nürnberg, Deutschland";"info@staedtler.com";"+49 911 9365 0";1
"inna|DIPLO";"";"";"";"";1
"ECOIFFIER";"Smoby Toys SAS";"Zone Industrielle, 39220 Les Rousses, France";"contact@smoby.com";"+33 3 84 60 35 35";1
"inny|Ideal Quality";"";"";"";"";1
"Scooter";"Scooter Sp. z o.o.";"ul. Sosnowa 7, 05-807 Podkowa Leśna, Polska";"info@scooters.pl";"";1
"CurePink";"CurePink s.r.o.";"Argentinská 38, 170 00 Praha 7, Česká republika";"info@curepink.cz";"";1
"ThinkFun";"Ravensburger Verlag GmbH";"Robert-Bosch-Straße 1, 88214 Ravensburg, Deutschland";"infoline@ravensburger.de";"+49 751 860 0";1
"Amex";"Amex Stationery Sp. z o.o.";"ul. Słoneczna 2, 62-021 Paczkowo, Polska";"amex@amex.com.pl";"";1
"Colorino";"Patio Polska Sp. z o.o.";"ul. Mariacka 28, 40-014 Katowice, Polska";"biuro@pfratio.com.pl";"+48 32 206 87 00";1
"Tesa";"tesa SE";"Hugo-Kirchberg-Straße 1, 22848 Norderstedt, Deutschland";"info@tesa.com";"+49 40 888 99 0";1
"Creativo";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";1
"Pixie Crew";"Pixie Crew Group s.r.o.";"Roháčova 145/14, 130 00 Praha, Česká republika";"info@pixiecrew.com";"";1
"U Wiktora";"F.H. U Wiktora Wiktor Tabak";"ul. Balicka 56, 30-149 Kraków, Polska";"biuro@u-wiktora.pl";"";1
"Abro";"Abro Industries Inc (Dystr: PL)";"ul. Okólna 45, 05-270 Marki, Polska";"info@abro.pl";"";1
"Creativ Company";"Creativ Company A/S";"Rasmus Færchs Vej 23, 7500 Holstebro, Danmark";"info@cchobby.com";"";1
"Post-it";"3M Poland Sp. z o.o.";"Al. Katowicka 117, 05-830 Nadarzyn, Polska";"innovation.pl@mmm.com";"+48 22 739 60 00";1
"DAS";"Fila Poland Sp. z o.o.";"ul. Hallera 9, 62-020 Swarzędz, Polska";"biuro@fila-poland.pl";"";1
"MiPro";"Michałczyk i Prokop Sp. z o.o.";"ul. Trakt Brzeski 1, 05-070 Sulejówek, Polska";"biuro@mip.com.pl";"";1
"M&C";"";"";"";"";1
"Plast";"Koma-Plast Sp. z o.o.";"ul. Ceramiczna 1, 20-150 Lublin, Polska";"biuro@komaplast.pl";"";1
"Muse";"";"";"";"";1
"Prism";"Prism Sp. z o.o.";"ul. Puławska 303, 02-785 Warszawa, Polska";"bok@prism.pl";"";1
"VTech";"VTech Electronics Europe B.V.";"Zuiderhof 13, 5301 LJ Zaltbommel, Netherlands";"vtechsupport@vtech.com";"+31 418 65 33 00";1
"M&Z";"";"";"";"";1
"NORIMPEX";"Norimpex Sp. z o.o.";"ul. Kilińskiego 2, 05-240 Tłuszcz, Polska";"biuro@norimpex.pl";"";1
"LEAN Toys";"Lean Toys";"ul. Północna 1, 42-240 Rudniki, Polska";"biuro@leantoys.com";"";1
"Lula Baby";"";"";"";"";1
"A-R";"";"";"";"";1
"Begris";"Begris Sp. z o.o.";"ul. Dębowa 6, 05-806 Komorów, Polska";"biuro@begris.pl";"";1
"Multi";"Multi-Gra Sp. j.";"ul. Mickiewicza 21, 32-050 Skawina, Polska";"biuro@multi-gra.pl";"";1
"OSUFI";"";"";"";"";1
"Maxell";"Maxell Europe Ltd.";"Seisdon Rd, Wolverhampton WV6 8NZ, United Kingdom";"maxell@maxell.pl";"";1
"Gacek";"Zakład Wyrobów Foliowych GACEK";"ul. Kolejowa 14, 34-400 Nowy Targ, Polska";"biuro@gacek.pl";"";1
"Protos";"Protos Sp. z o.o.";"ul. Przemysłowa 5, 05-074 Halinów, Polska";"biuro@protos.com.pl";"";1
"Artix";"Artix Sp. z o.o.";"ul. Okólna 45, 05-270 Marki, Polska";"biuro@artix.pl";"";1
"Nobo Kids";"Nobo Kids Sp. z o.o.";"ul. Północna 1, 42-240 Rudniki, Polska";"biuro@nobokids.pl";"";1
"Super Glue";"Bripox Sp. z o.o.";"ul. Marynarska 15, 02-674 Warszawa, Polska";"biuro@bripox.pl";"";1
"Total";"";"";"";"";1
"Sweet Colours";"";"";"";"";1
"inny (Qumak-Sekom)";"Qumak S.A.";"Al. Jerozolimskie 94, 00-807 Warszawa, Polska";"kontakt@qumak.pl";"";1
"Moosee";"Moosee Sp. z o.o.";"ul. Garażowa 4, 02-651 Warszawa, Polska";"biuro@moosee.pl";"";1
"Klocki";"";"";"";"";1
"Astrino";"Astra Spółka Akcyjna";"ul. Zofii Nałkowskiej 73, 42-600 Tarnowskie Góry, Polska";"biuro@astra-artykuly.pl";"+48 32 381 93 00";1
"PBS";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";1
"Jumbo";"Jumbo Diset Group (Dystr: TM Toys)";"ul. Złota 59, 00-120 Warszawa, Polska";"info@tmtoys.pl";"";1
"3M Peltor";"3M Poland Sp. z o.o.";"Al. Katowicka 117, 05-830 Nadarzyn, Polska";"innovation.pl@mmm.com";"+48 22 739 60 00";1
"Dino";"Dino Toys s.r.o.";"Zájezdní 5/37, Praha 9, Česká republika";"info@dinotoys.cz";"+420 226 211 661";1
"Huanger";"";"";"";"";1
"Eurobatt";"Eurobatt Sp. z o.o.";"ul. Mszczonowska 20, 05-090 Janki, Polska";"biuro@eurobatt.pl";"";1
"Moxy";"Moxy Sp. z o.o.";"ul. Puławska 303, 02-785 Warszawa, Polska";"bok@moxy.pl";"";1
"Koh i noor";"KOH-I-NOOR HARDTMUTH a.s.";"F. A. Gerstnera 21/3, 370 01 České Budějovice, Česká republika";"info@koh-i-noor.cz";"+420 389 000 111";1
"Paper-mate";"Newell Poland Services Sp. z o.o.";"ul. Inflancka 4C, 00-189 Warszawa, Polska";"info.poland@newellco.com";"+48 22 375 25 00";1
"Inna";"";"";"";"";1
"WYDAWNICTWO "MD" MONIKA DUDA";"Wydawnictwo MD Monika Duda";"ul. Lipowa 23, 44-100 Gliwice, Polska";"wydawnictwo@wydawnictwomd.pl";"";1
"Linex";"Hamelin Brands A/S";"Vesterbrogade 149, 1620 Copenhagen V, Denmark";"info@linex.dk";"+45 46 74 20 00";1
"AB";"AB S.A.";"ul. Europejska 15, 55-040 Magnice, Polska";"gpsr@ab.pl";"";1
"Kontext";"Kontext Sp. z o.o.";"ul. Robotnicza 1, 55-095 Mirków, Polska";"biuro@kontext.pl";"";1
"Diabolo";"";"";"";"";1
"Puma";"Puma Polska Sp. z o.o.";"Al. Jerozolimskie 142A, 02-305 Warszawa, Polska";"service@puma.com";"";1
"QULKI";"";"";"";"";1
"Tomdorix";"Tomdorix Sp. z o.o.";"ul. Balicka 56, 30-149 Kraków, Polska";"biuro@tomdorix.pl";"";1
"Addo";"Russell Polska Sp. z o.o.";"ul. Kościuszki 115, 85-079 Bydgoszcz, Polska";"biuro@russell.pl";"";1
"Coil";"Coil Sp. z o.o.";"ul. Okrzei 15, 25-525 Kielce, Polska";"biuro@coil.pl";"";1
"Taurus";"Taurus Sp. z o.o.";"ul. Przemysłowa 12, 32-050 Skawina, Polska";"biuro@taurus.pl";"";1
"SquishySquishies";"";"";"";"";1
"Little Tikes";"MGA Entertainment, Inc.";"9220 Winnetka Avenue, Chatsworth, CA 91311, USA";"consumer@mgae.com";"+1 800 222 4685";1
"Kreska";"Kreska Sp. z o.o.";"ul. Kilińskiego 162, 93-117 Łódź, Polska";"biuro@kreska.pl";"";1
"Trefl PAP";"Trefl S.A.";"ul. Ks. Jerzego Popiełuszki 17, 83-200 Starogard Gdański, Polska";"trefl@trefl.com";"+48 58 560 15 00";1
"KUKURYKU Julia Pogorzelska";"Kukuryku Julia Pogorzelska";"ul. Mokotowska 1, 00-640 Warszawa, Polska";"";"";1
"EURO-TRADE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Euro-Trade Sp. z o.o. Sp. k.";"ul. Łokietka 155, 31-263 Kraków, Polska";"biuro@euro-trade.pl";"";1
"Bestawy";"Bestway Inflatables & Material Corp.";"2/F Commerical Bank Tower, No.1, Futian District, Shenzhen, China";"info@bestway-corp.com";"+86 755 8303 0160";1
"Luksja";"Sarantis Polska S.A.";"";"kontakt@sarantis.pl";"+48 22 535 02 00";1
"OP";"PBS Connect Polska Sp. z o.o.";"ul. Kolejowa 54B, 01-210 Warszawa, Polska";"biuro@pbs-connect.pl";"+48 22 632 33 11";1
"Anma";"Anma Sp. z o.o.";"ul. Kilińskiego 162, 93-117 Łódź, Polska";"biuro@anma.pl";"";1
"Sorento";"Grand Sp. j.";"ul. Elbląska 15/17, 01-747 Warszawa, Polska";"biuro@grand.com.pl";"+48 22 633 31 33";1
"IKS";"IKS Sp. j.";"ul. Polna 14, 05-800 Pruszków, Polska";"biuro@iks.pl";"";1
"Fister";"Fister Sp. z o.o.";"ul. Poznańska 58, 74-100 Gryfino, Polska";"biuro@fister.pl";"";1
"Speelgoedland";"";"";"";"";1
"Madrid Papel";"";"";"";"";1
"adidas";"Adidas Poland Sp. z o.o.";"ul. Żwirki i Wigury 18A, 02-092 Warszawa, Polska";"service-pl@adidas.com";"";1
"BIG";"Simba Toys GmbH & Co. KG";"Werkstraße 1, 90765 Fürth, Deutschland";"info@simba-dickie-group.de";"+49 911 9765 01";1
"Stella Pack SA";"Stella Pack S.A.";"ul. Krańcowa 67, 21-100 Lubartów, Polska";"stella@stella.com.pl";"";1
"Triplex";"Triplex Sp. z o.o.";"ul. Sadowa 18, 51-180 Wrocław, Polska";"biuro@triplex.pl";"";1
"3Z ZIELIŃSKI ŻELEWSKI SPÓŁKA KOMANDYTOWA";"";"";"";"";1
"ODDK.  VISUAL SYSTEM. JERZY MARCINEK";"ODDK Visual System Jerzy Marcinek";"ul. Heila 2, 80-299 Gdańsk, Polska";"biuro@visualsystem.pl";"";1
"Snoby";"Smoby Toys SAS";"Zone Industrielle, 39220 Les Rousses, France";"contact@smoby.com";"+33 3 84 60 35 35";1
"Edding";"edding AG";"Bookkoppel 7, 22926 Ahrensburg, Deutschland";"info@edding.de";"+49 4102 808 0";1
"Rosa";"Phoenix Art Sp. z o.o.";"ul. Gdyńska 25, 80-209 Tuchom, Polska";"biuro@phoenix-art.pl";"";1
"CLEMENTONI POLSKA SP. Z O.O.";"Clementoni S.p.A.";"Zona Ind.le Fontenoce, 62019 Recanati (MC), Italia";"info@clementoni.com";"+39 071 75 811";1
"Sarantis";"Godan S.A.";"ul. Kopernika 38, 05-120 Legionowo, Polska";"biuro@godan.pl";"+48 22 774 11 11";1
"Velvet";"Velvet CARE Sp. z o.o.";"Klucze-Osada 3, 32-310 Klucze, Polska";"biuro@velvetcare.com";"";1
"Sun";"Sun-Day Sp. z o.o.";"Warszawa, Polska";"";"";1
"Dalpo";"Dalpo Sp. z o.o.";"ul. Józefa Hallera 9, 62-020 Swarzędz, Polska";"info@dalpo.pl";"";1
